Voltage control
Voltage is set directly according to setter.

Constant setpoint
Value (V)
0

Stop buffer (mm), Syringe diameter (mm)
5,20.5

Time (ms),Force (N),Flowrate (ml/s),Control action (8 bit),Loadcell (24 bit),Ticks (rotations)
10966,-3.52260,0.00000,0,-122490,1
11056,-3.52025,0.00000,0,-122409,1
11147,-3.51995,0.00000,0,-122399,1
11238,-3.52010,0.00000,0,-122404,1
11329,-3.51960,0.00000,0,-122387,1
11421,-3.52068,0.00000,0,-122424,1
11511,-3.52013,0.00000,0,-122405,1
11602,-3.51917,0.00000,0,-122372,1
11693,-3.51969,0.00000,0,-122390,1
11784,-3.52246,0.00000,0,-122485,1
11874,-3.52086,0.00000,0,-122430,1
11965,-3.51940,0.00000,0,-122380,1
12056,-3.51963,0.00000,0,-122388,1
12148,-3.51972,0.00000,0,-122391,1
12239,-3.52001,0.00000,0,-122401,1
12329,-3.51998,0.00000,0,-122400,1
12420,-3.51960,0.00000,0,-122387,1
12511,-3.51917,0.00000,0,-122372,1
12602,-3.52062,0.00000,0,-122422,1
12693,-3.52086,0.00000,0,-122430,1
12783,-3.52001,0.00000,0,-122401,1
12875,-3.51882,0.00000,0,-122360,1
12966,-3.51987,0.00000,0,-122396,1
13057,-3.52010,0.00000,0,-122404,1
13148,-3.52030,0.00000,0,-122411,1
13238,-3.52030,0.00000,0,-122411,1
13329,-3.51990,0.00000,0,-122397,1
13420,-3.52074,0.00000,0,-122426,1
13512,-3.51966,0.00000,0,-122389,1
13603,-3.51914,0.00000,0,-122371,1
13693,-3.52019,0.00000,0,-122407,1
13784,-3.52118,0.00000,0,-122441,1
13875,-3.51952,0.00000,0,-122384,1
13966,-3.51972,0.00000,0,-122391,1
14056,-3.51955,0.00000,0,-122385,1
14147,-3.52030,0.00000,0,-122411,1
14239,-3.51891,0.00000,0,-122363,1
14330,-3.51850,0.00000,0,-122349,1
14421,-3.51958,0.00000,0,-122386,1
14511,-3.52059,0.00000,0,-122421,1
14602,-3.52022,0.00000,0,-122408,1
14693,-3.51943,0.00000,0,-122381,1
14784,-3.51925,0.00000,0,-122375,1
14876,-3.51975,0.00000,0,-122392,1
14966,-3.52030,0.00000,0,-122411,1
15057,-3.51966,0.00000,0,-122389,1
15148,-3.51978,0.00000,0,-122393,1
15239,-3.52016,0.00000,0,-122406,1
15330,-3.51908,0.00000,0,-122369,1
15420,-3.51972,0.00000,0,-122391,1
15511,-3.51844,0.00000,0,-122347,1
15603,-3.51745,0.00000,0,-122313,1
15694,-3.51757,0.00000,0,-122317,1
15785,-3.51768,0.00000,0,-122321,1
15875,-3.51815,0.00000,0,-122337,1
15966,-3.51853,0.00000,0,-122350,1
